"Reference","Value","Qty","DigiKey Link","DigiKey Part Number","Datasheet"
"J2","901210124","1","https://www.digikey.at/en/products/detail/molex/0901210124/760813 ","23-0901210124-ND","https://www.molex.com/pdm_docs/sd/901210124_sd.pdf"
"J1","35RASMT2BHNTRX","1","https://www.digikey.at/en/products/detail/switchcraft-inc/35RASMT2BHNTRX/1291178","SC1489-1-ND","https://www.switchcraft.com/assets/1/24/35rasmt2bhntrx_cd.pdf?4698"
