Ref,Val,Package,PosX,PosY,Rot,Side
"J1","SWITCHCRAFT_35RASMT2BHNTRX","35RASMT2BHNTRX",132.450000,-95.675000,0.000000,top
"J2","901210124","CONN04_901210124_MOL",143.000000,-99.540000,90.000000,top
