Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",186.484000,-114.645000,-90.000000,bottom
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",172.260000,-66.385000,90.000000,bottom
